Time (min),Time (sec),Speed (km/h),Altitude (km)
0,0,0,0
0,1,1,0
0,2,2,0
0,3,9,0
0,4,28,0
0,5,41,0
0,6,59,0
0,7,75,0
0,8,94,0
0,9,111,0
0,10,130,0
0,11,149,0
0,12,167,0
0,13,186,0
0,14,205,0
0,15,225,0
0,16,243,0
0,17,259,0
0,18,277,0
0,19,296,0
0,20,313,0
0,21,328,0
0,22,345,1
0,23,360,1
0,24,378,1
0,25,397,1
0,26,416,1
0,27,436,1
0,28,456,1
0,29,476,1
0,30,497,1
0,31,518,2
0,32,536,2
0,33,558,2
0,34,580,2
0,35,603,2
0,36,625,2
0,37,650,3
0,38,676,3
0,39,699,3
0,40,717,3
0,41,741,3
0,42,763,4
0,43,782,4
0,44,804,4
0,45,824,4
0,46,844,4
0,47,864,5
0,48,885,5
0,49,903,5
0,50,922,5
0,51,941,6
0,52,963,6
0,53,977,6
0,54,996,6
0,55,1012,7
0,56,1027,7
0,57,1043,7
0,58,1059,7
0,59,1076,8
1,0,1095,8
1,1,1115,8
1,2,1134,9
1,3,1151,9
1,4,1172,9
1,5,1193,10
1,6,1216,10
1,7,1237,10
1,8,1258,11
1,9,1281,11
1,10,1306,11
1,11,1331,11
1,12,1355,12
1,13,1377,12
1,14,1404,13
1,15,1430,13
1,16,1458,13
1,17,1488,14
1,18,1516,14
1,19,1541,14
1,20,1571,15
1,21,1600,15
1,22,1632,16
1,23,1665,16
1,24,1694,16
1,25,1738,17
1,26,1768,17
1,27,1799,18
1,28,1833,18
1,29,1868,19
1,30,1907,19
1,31,1941,20
1,32,1981,20
1,33,2020,20
1,34,2060,21
1,35,2099,21
1,36,2139,22
1,37,2180,22
1,38,2219,23
1,39,2262,23
1,40,2306,24
1,41,2350,24
1,42,2400,25
1,43,2455,26
1,44,2501,26
1,45,2542,27
1,46,2578,27
1,47,2632,28
1,48,2684,28
1,49,2739,29
1,50,2777,29
1,51,2829,30
1,52,2875,31
1,53,2930,31
1,54,2980,32
1,55,3041,32
1,56,3091,33
1,57,3142,34
1,58,3201,34
1,59,3254,35
2,0,3302,35
2,1,3355,36
2,2,3416,37
2,3,3469,37
2,4,3522,38
2,5,3585,39
2,6,3639,40
2,7,3688,40
2,8,3738,41
2,9,3795,41
2,10,3847,42
2,11,3900,43
2,12,3963,44
2,13,4014,44
2,14,4073,45
2,15,4129,46
2,16,4188,47
2,17,4241,47
2,18,4303,48
2,19,4357,49
2,20,4413,49
2,21,4469,50
2,22,4519,51
2,23,4577,52
2,24,4631,52
2,25,4688,53
2,26,4748,54
2,27,4811,55
2,28,4872,56
2,29,4923,56
2,30,4983,57
2,31,5037,58
2,32,5100,59
2,33,5165,59
2,34,5223,60
2,35,5276,61
2,36,5336,62
2,37,5390,62
2,38,5455,63
2,39,5510,64
2,40,5584,65
2,41,5642,66
2,42,5699,66
2,43,5743,67
2,44,5750,68
2,45,5741,69
2,46,5730,69
2,47,5720,70
2,48,5707,71
2,49,5673,71
2,50,5661,72
2,51,5661,73
2,52,5660,74
2,53,5659,74
2,54,5680,75
2,55,5696,76
2,56,5689,76
2,57,5660,77
2,58,5602,78
2,59,5525,79
3,0,5425,79
3,1,5321,80
3,2,5213,81
3,3,5110,82
3,4,4990,82
3,5,4878,83
3,6,4771,84
3,7,4665,84
3,8,4572,85
3,9,4480,86
3,10,4366,86
3,11,4255,87
3,12,4147,88
3,13,4039,88
3,14,3941,89
3,15,3831,89
3,16,3713,90
3,17,3595,91
3,18,3488,91
3,19,3401,92
3,20,3293,92
3,21,3182,93
3,22,3064,93
3,23,2947,94
3,24,2836,94
3,25,2730,95
3,26,2596,95
3,27,2495,96
3,28,2369,96
3,29,2276,97
3,30,2175,97
3,31,2061,98
3,32,1956,98
3,33,1846,98
3,34,1746,99
3,35,1632,99
3,36,1528,100
3,37,1439,100
3,38,1348,100
3,39,1274,101
3,40,1214,101
3,41,1155,101
3,42,1105,102
3,43,1071,102
3,44,1036,102
3,45,1010,102
3,46,986,103
3,47,962,103
3,48,939,103
3,49,910,103
3,50,877,104
3,51,843,104
3,52,809,104
3,53,779,104
3,54,749,104
3,55,720,105
3,56,687,105
3,57,656,105
3,58,627,105
3,59,599,105
4,0,571,105
4,1,543,106
4,2,513,106
4,3,488,106
4,4,462,106
4,5,438,106
4,6,413,106
4,7,389,106
4,8,371,106
4,9,353,106
4,10,339,106
4,11,326,106
4,12,317,106
4,13,310,106
4,14,308,106
4,15,309,106
4,16,313,106
4,17,323,106
4,18,334,106
4,19,350,106
4,20,365,106
4,21,384,106
4,22,410,106
4,23,437,106
4,24,456,106
4,25,475,106
4,26,506,106
4,27,537,106
4,28,562,105
4,29,593,105
4,30,620,105
4,31,648,105
4,32,676,105
4,33,708,105
4,34,738,104
4,35,772,104
4,36,804,104
4,37,833,104
4,38,862,104
4,39,896,103
4,40,925,103
4,41,956,103
4,42,988,103
4,43,1022,102
4,44,1059,102
4,45,1093,102
4,46,1129,101
4,47,1157,101
4,48,1186,101
4,49,1218,101
4,50,1250,100
4,51,1283,100
4,52,1318,100
4,53,1353,99
4,54,1386,99
4,55,1418,98
4,56,1452,98
4,57,1488,98
4,58,1518,97
4,59,1548,97
5,0,1583,96
5,1,1618,96
5,2,1648,96
5,3,1682,95
5,4,1715,95
5,5,1749,94
5,6,1784,94
5,7,1821,93
5,8,1851,93
5,9,1883,92
5,10,1918,92
5,11,1955,91
5,12,1989,90
5,13,2023,90
5,14,2056,89
5,15,2088,89
5,16,2116,88
5,17,2150,88
5,18,2186,87
5,19,2221,86
5,20,2254,86
5,21,2289,85
5,22,2323,85
5,23,2358,84
5,24,2395,83
5,25,2429,83
5,26,2464,82
5,27,2496,81
5,28,2529,81
5,29,2566,80
5,30,2600,79
5,31,2632,78
5,32,2662,78
5,33,2699,77
5,34,2732,76
5,35,2768,75
5,36,2801,75
5,37,2836,74
5,38,2869,73
5,39,2907,72
5,40,2939,72
5,41,2969,71
5,42,3006,70
5,43,3040,69
5,44,3077,68
5,45,3112,67
5,46,3148,67
5,47,3182,66
5,48,3216,65
5,49,3248,64
5,50,3285,63
5,51,3320,62
5,52,3350,61
5,53,3385,60
5,54,3417,59
5,55,3449,59
5,56,3483,58
5,57,3522,56
5,58,3557,55
5,59,3593,54
6,0,3625,53
6,1,3658,53
6,2,3695,51
6,3,3732,50
6,4,3765,49
6,5,3800,48
6,6,3828,47
6,7,3857,46
6,8,3893,45
6,9,3931,44
6,10,3967,43
6,11,3998,42
6,12,4029,41
6,13,4057,40
6,14,4091,39
6,15,4126,37
6,16,4159,36
6,17,4187,35
6,18,4214,34
6,19,4244,33
6,20,4267,32
6,21,4287,30
6,22,4307,29
6,23,4324,28
6,24,4335,27
6,25,4340,25
6,26,4339,25
6,27,4331,23
6,28,4314,22
6,29,4285,21
6,30,4226,19
6,31,4163,18
6,32,4091,17
6,33,3989,16
6,34,3882,15
6,35,3767,14
6,36,3602,13
6,37,3448,12
6,38,3261,11
6,39,3088,10
6,40,2932,9
6,41,2777,9
6,42,2622,8
6,43,2480,7
6,44,2339,7
6,45,2183,6
6,46,2050,5
6,47,1905,5
6,48,1809,4
6,49,1697,4
6,50,1602,3
6,51,1515,3
6,52,1445,2
6,53,1389,2
6,54,1337,2
6,55,1299,1
6,56,1257,1
6,57,1205,1
6,58,1160,0
6,59,1118,0
7,0,1111,0
